ep,rwd,lpf
68,0.024567339795958175,0.030389701095237105
69,0.0035060510219453887,0.02770133608790793
70,0.024846758638168966,0.027415878342934033
71,0.0005429504759840498,0.024728585556239035
72,0.0004902064417111162,0.022304747644786245
73,0.05118633967462234,0.025192906847769855
74,0.11119158698307033,0.033792774861299904
75,0.004696771416999468,0.03088317451686986
76,0.05322473138519577,0.03311733020370245
77,0.03064507623975814,0.03287010480730802
78,0.0221912311240132,0.03180221743897854
79,0.016509789744826087,0.0302729746695633
80,0.07112508166093612,0.03435818536870058
81,0.07008608928889153,0.037930975760719673
82,0.06343772247275244,0.04048165043192296
83,0.20859777878490612,0.05729326326722127
84,0.038220031381404417,0.05538594007863958
85,0.0950561546969805,0.059352961540473675
86,0.060922934475265936,0.05950995883395291
87,0.0658365039605279,0.06014261334661041
88,0.0005192731247213089,0.0541802793244215
89,0.014582567683030767,0.05022050816028243
90,0.058699038290862225,0.051068361173340404
91,0.029550339185712638,0.048916558974577626
92,0.06260090746851202,0.050284993823971065
93,0.01293248506952054,0.04654974294852601
94,0.03793313803546674,0.045688082457220086
95,0.02221502360107248,0.04334077657160533
96,0.06387580178660883,0.04539427909310568
97,0.0005988639687087627,0.04091473758066599
98,0.016897175885583593,0.03851298141115775
99,0.027561600335959467,0.03741784330363792
100,0.0005962230043316197,0.03373568127370729
101,0.0006089491394545732,0.030423008060282017
102,0.006532267078148912,0.028033933962068706
103,0.07081112023464406,0.032311652589326244
104,0.03393946760715423,0.03247443409110905
105,0.011414601465635065,0.030368450828561648
106,0.07850607990027214,0.0351822137357327
107,0.12695612265988937,0.044359604628148364
108,0.04414638825852837,0.04433828299118636
109,0.0529992205410057,0.0452043767461683
110,0.056581088742535,0.046342047945804966
111,0.0043281951115529795,0.04214066266237977
112,0.03286471431223159,0.04121306782736495
113,0.03322139084231068,0.04041390012885953
114,0.029160963257735872,0.03928860644174716
115,0.0032851396340282334,0.035688259760975276
116,0.0005519136598771013,0.03217462515086546
117,0.009864914444419526,0.029943654080220865
118,0.019684724255950848,0.028917761097793863
119,0.03839070837290528,0.029865055825305006
120,0.00048125533295309,0.026926675776069817
121,0.011670742507951104,0.025401082449257945
122,0.0005681036347196411,0.022917784567804116
123,0.0004718615301912976,0.020673192264042836
124,0.0006504180694204109,0.018670914844580597
125,0.0069295136030968155,0.01749677472043222
126,0.012851109041546316,0.01703220815254363
127,0.09345207230252264,0.02467419456754153
128,0.058387375407341936,0.02804551265152157
129,0.07236262784112846,0.03247722417048226
130,0.013628885872836527,0.030592390340717687
131,0.0005736920706496563,0.027590520513710883
132,0.06334241088826964,0.031165709551166758
133,0.0004975724361177214,0.028098895839661853
134,0.037322922785511636,0.02902129853424683
135,0.02349667607833954,0.028468836288656103
136,0.0005348961699072063,0.025675442276781212
137,0.035878998224681345,0.026695797871571225
138,0.023810915652865285,0.02640730964970063
139,0.052773331437946956,0.029043911828525264
140,0.0030507645949445104,0.026444597105167188
141,0.0004799731629214321,0.023848134710942614
142,0.0005259179241477341,0.021515913032263127
143,0.023482348695460863,0.0217125565985829
144,0.04653559243057916,0.024194860181782525
145,0.000582337432653901,0.021833607906869664
146,0.0005390046528182424,0.01970414758146452
147,0.006070071589002524,0.018340739982218322
148,0.04282669014427789,0.02078933499842428
149,0.04475884940358288,0.02318628643894014
150,0.0006477291980830913,0.020932430714854438
151,0.0005746127524284717,0.01889664891861184
152,0.0004460623820556009,0.017051590264956215
153,0.06435440764287392,0.021781872002747987
154,0.07076542270797041,0.02668022707327023
